lat,lon,bb_678
39.9375,-119.5625,0.015685007
39.9375,-119.52083,0.016970001
39.9375,-119.479164,0.018400006
39.895832,-119.5625,0.018955007
39.895832,-119.52083,0.019350007
39.895832,-119.479164,0.020135
39.895832,-119.4375,0.020095006
39.895832,-119.39583,0.020030007
39.854164,-119.479164,0.018110007
39.854164,-119.4375,0.018110007
39.229164,-120.0625,0.0010050088
39.229164,-120.02083,0.0010100007
39.229164,-119.979164,0.001000002
39.229164,-119.9375,0.000970006
39.1875,-120.104164,0.0012499988
39.1875,-120.0625,0.0011350065
39.1875,-120.02083,0.0010849983
39.1875,-119.979164,0.0010700077
39.1875,-119.9375,0.0010350049
39.1875,-119.89583,0.001000002
39.145832,-120.14583,0.0014600009
39.145832,-120.104164,0.0013000071
39.145832,-120.0625,0.0011600107
39.145832,-120.02083,0.0011050105
39.145832,-119.979164,0.0010650009
39.145832,-119.9375,0.0010399967
39.104164,-120.1875,0.0011750013
39.104164,-120.14583,0.0011250079
39.104164,-120.104164,0.0011050105
39.104164,-120.0625,0.0011150092
39.104164,-120.02083,0.001090005
39.104164,-119.979164,0.0010700077
39.104164,-119.9375,0.00093500316
39.0625,-120.1875,0.0014200062
39.0625,-120.14583,0.0014200062
39.0625,-120.104164,0.0011000037
39.0625,-120.0625,0.0010800064
39.0625,-120.02083,0.001060009
39.0625,-119.979164,0.0010100007
39.0625,-119.9375,0.0010100007
39.020832,-120.14583,0.0010350049
39.020832,-120.104164,0.0010500103
39.020832,-120.0625,0.0010500103
39.020832,-120.02083,0.0010450035
39.020832,-119.979164,0.0010199994
39.020832,-119.9375,0.0009950101
38.979164,-120.0625,0.0010299981
38.979164,-120.02083,0.0010100007
38.979164,-119.979164,0.0009950101
38.979164,-119.9375,0.000880003
38.9375,-120.104164,0.0011550039
38.9375,-120.0625,0.0012800097
38.9375,-120.02083,0.0012900084
38.9375,-119.979164,0.0049850047
38.9375,-119.9375,0.0049850047
38.729164,-118.77083,0.027120002
38.729164,-118.729164,0.029035002
38.729164,-118.6875,0.029305004
38.6875,-118.77083,0.031485006
38.6875,-118.729164,0.031525
38.6875,-118.6875,0.031745
38.6875,-118.64583,0.031745
38.645832,-118.77083,0.034595005
38.645832,-118.729164,0.034595005
38.645832,-118.6875,0.034595005
38.0625,-122.4375,0.044570006
38.0625,-122.39583,0.044570006
38.0625,-122.354164,0.044570006
38.0625,-119.104164,0.024830006
38.0625,-119.0625,0.024830006
38.0625,-119.02083,0.018005006
38.0625,-118.979164,0.018060006
38.0625,-118.9375,0.018135004
38.020832,-122.4375,0.039115004
38.020832,-122.39583,0.03864
38.020832,-122.354164,0.03835
38.020832,-122.3125,0.04056
38.020832,-119.1875,0.032620005
38.020832,-119.14583,0.032620005
38.020832,-119.104164,0.01906
38.020832,-119.0625,0.017360002
38.020832,-119.02083,0.016980007
38.020832,-118.979164,0.016965002
38.020832,-118.9375,0.018765002
38.020832,-118.89583,0.018765002
37.979164,-122.479164,0.04156
37.979164,-122.4375,0.03931
37.979164,-122.39583,0.037905
37.979164,-119.14583,0.01946
37.979164,-119.104164,0.019030005
37.979164,-119.0625,0.018490002
37.979164,-119.02083,0.017575003
37.979164,-118.979164,0.016560003
37.979164,-118.9375,0.016485006
37.9375,-122.729164,0.012425005
37.9375,-122.479164,0.035305
37.9375,-122.4375,0.035305
37.9375,-122.39583,0.035305
37.9375,-119.02083,0.019550003
37.9375,-118.979164,0.019550003
37.895832,-122.77083,0.010625005
37.895832,-122.729164,0.014219999
37.895832,-122.6875,0.01946
37.895832,-122.64583,0.01901
37.895832,-122.604164,0.013585001
37.895832,-122.479164,0.023445003
37.895832,-122.4375,0.031480007
37.895832,-122.39583,0.032875
37.895832,-122.354164,0.034600005
37.854164,-122.8125,0.0076000094
37.854164,-122.77083,0.0103300065
37.854164,-122.729164,0.013580009
37.854164,-122.6875,0.015650004
37.854164,-122.64583,0.017010003
37.854164,-122.604164,0.017760001
37.854164,-122.5625,0.017505005
37.854164,-122.52083,0.017505005
37.854164,-122.479164,0.026910007
37.854164,-122.4375,0.028640002
37.854164,-122.39583,0.030270003
37.854164,-122.354164,0.034760006
37.854164,-122.3125,0.034820005
37.8125,-122.854164,0.0059349984
37.8125,-122.8125,0.007520005
37.8125,-122.77083,0.009430006
37.8125,-122.729164,0.01222001
37.8125,-122.6875,0.015265003
37.8125,-122.64583,0.016945004
37.8125,-122.604164,0.019025005
37.8125,-122.5625,0.020600006
37.8125,-122.52083,0.022835001
37.8125,-122.479164,0.026425004
37.8125,-122.4375,0.028140001
37.8125,-122.39583,0.02865
37.8125,-122.354164,0.028560005
37.8125,-122.3125,0.023955002
37.770832,-122.89583,0.004759997
37.770832,-122.854164,0.0056550056
37.770832,-122.8125,0.0069300085
37.770832,-122.77083,0.008579999
37.770832,-122.729164,0.011045009
37.770832,-122.6875,0.01430501
37.770832,-122.64583,0.016770005
37.770832,-122.604164,0.018555
37.770832,-122.5625,0.019670002
37.770832,-122.52083,0.019990005
37.770832,-122.479164,0.019990005
37.770832,-122.39583,0.029130004
37.770832,-122.354164,0.029280007
37.770832,-122.3125,0.032105006
37.770832,-122.27083,0.033035003
37.770832,-122.229164,0.03638
37.729164,-122.89583,0.0045600086
37.729164,-122.854164,0.005215004
37.729164,-122.8125,0.006559998
37.729164,-122.77083,0.0077800006
37.729164,-122.729164,0.009440005
37.729164,-122.6875,0.011350006
37.729164,-122.64583,0.013130009
37.729164,-122.604164,0.015875004
37.729164,-122.5625,0.016420007
37.729164,-122.52083,0.016705006
37.729164,-122.354164,0.030065
37.729164,-122.3125,0.031555004
37.729164,-122.27083,0.03338
37.729164,-122.229164,0.029885001
37.729164,-122.1875,0.029885001
37.6875,-122.9375,0.0038399994
37.6875,-122.89583,0.004490003
37.6875,-122.854164,0.00534001
37.6875,-122.8125,0.006250009
37.6875,-122.77083,0.006915003
37.6875,-122.729164,0.007490009
37.6875,-122.6875,0.009365007
37.6875,-122.64583,0.01103501
37.6875,-122.604164,0.012580007
37.6875,-122.5625,0.013935
