lat,lon,bb_645
47.3125,-84.854164,0.0020700097
47.3125,-84.8125,0.002090007
47.3125,-84.77083,0.0022000074
47.3125,-84.729164,0.002334997
47.3125,-84.6875,0.002155006
47.3125,-84.64583,0.0019900054
47.3125,-84.604164,0.0019900054
47.270832,-85.0625,0.0017850101
47.270832,-85.02083,0.0018050075
47.270832,-84.979164,0.0018550009
47.270832,-84.9375,0.001970008
47.270832,-84.89583,0.0020350069
47.270832,-84.854164,0.0021150112
47.270832,-84.8125,0.002060011
47.270832,-84.77083,0.0020700097
47.270832,-84.729164,0.0021450073
47.270832,-84.6875,0.0019500107
47.270832,-84.64583,0.0018950105
47.270832,-84.604164,0.001665011
47.270832,-84.5625,0.001665011
47.229164,-85.27083,0.0017950088
47.229164,-85.229164,0.0017750114
47.229164,-85.1875,0.0017850101
47.229164,-85.14583,0.0017850101
47.229164,-85.104164,0.001790002
47.229164,-85.0625,0.0018000007
47.229164,-85.02083,0.0018099993
47.229164,-84.979164,0.0018299967
47.229164,-84.9375,0.0019650012
47.229164,-84.89583,0.0020350069
47.229164,-84.854164,0.002120003
47.229164,-84.8125,0.00212501
47.229164,-84.77083,0.0022500008
47.229164,-84.729164,0.0024650097
47.229164,-84.6875,0.002305001
47.229164,-84.64583,0.0022950023
47.1875,-85.4375,0.0018600076
47.1875,-85.39583,0.001850009
47.1875,-85.354164,0.0018350035
47.1875,-85.3125,0.0018000007
47.1875,-85.27083,0.0018050075
47.1875,-85.229164,0.0018099993
47.1875,-85.1875,0.0018050075
47.1875,-85.14583,0.0017800033
47.1875,-85.104164,0.0017750114
47.1875,-85.0625,0.0017800033
47.1875,-85.02083,0.0018000007
47.1875,-84.979164,0.0018350035
47.1875,-84.9375,0.0018950105
47.1875,-84.89583,0.0020700097
47.1875,-84.854164,0.0021150112
47.1875,-84.8125,0.0021450073
47.1875,-84.77083,0.0022650063
47.1875,-84.729164,0.0022950023
47.1875,-84.6875,0.002455011
47.1875,-84.64583,0.002455011
47.145832,-85.604164,0.0018950105
47.145832,-85.5625,0.0018900037
47.145832,-85.52083,0.0019000024
