lat,lon,Rrs_531
-13.395837,-175.9375,0.0027060024
-13.395837,-175.89583,0.0026280023
-13.395837,-175.85417,0.0024380013
-13.395837,-175.8125,0.0024200007
-13.395837,-175.77083,0.0024159998
-13.395837,-175.72917,0.0024540015
-13.395837,-175.6875,0.0023600012
-13.395837,-175.64583,0.0022380017
-13.395837,-175.60417,0.002262
-13.395837,-175.5625,0.00251
-13.395837,-175.52083,0.0025839992
-13.395837,-175.47917,0.002629999
-13.395837,-175.4375,0.0026880018
-13.395837,-175.39583,0.002456002
-13.395837,-175.35417,0.002567999
-13.395837,-175.3125,0.0027160011
-13.395837,-175.27083,0.0024860017
-13.395837,-175.22917,0.002286002
-13.395837,-175.1875,0.0024919994
-13.395837,-175.14583,0.002472002
-13.395837,-175.10417,0.0025219992
-13.395837,-175.0625,0.002704002
-13.395837,-175.02083,0.0027180016
-13.395837,-174.97917,0.0027160011
-13.395837,-174.9375,0.0026459992
-13.395837,-174.89583,0.0029820018
-13.395837,-174.85417,0.003238
-13.395837,-174.8125,0.0030580014
-13.437503,-176.35417,0.0025000013
-13.437503,-176.3125,0.0024840012
-13.437503,-176.27083,0.0024599992
-13.437503,-176.22917,0.0025460012
-13.437503,-176.1875,0.0026820004
-13.437503,-176.14583,0.0025440007
-13.437503,-176.10417,0.002518002
-13.437503,-176.0625,0.0026060008
-13.437503,-176.02083,0.0025600009
-13.437503,-175.97917,0.002286002
-13.437503,-175.9375,0.0022420026
-13.437503,-175.89583,0.0021900013
-13.437503,-175.85417,0.0021979995
-13.437503,-175.8125,0.0023560002
-13.437503,-175.77083,0.0024360009
-13.437503,-175.72917,0.002386
-13.437503,-175.6875,0.0023120008
-13.437503,-175.64583,0.0022400022
-13.437503,-175.60417,0.0022380017
-13.437503,-175.5625,0.0024280027
-13.437503,-175.52083,0.0026280023
-13.437503,-175.47917,0.0026240014
-13.437503,-175.4375,0.0027160011
-13.437503,-175.39583,0.0027940013
-13.437503,-175.35417,0.00268
-13.437503,-175.3125,0.00282
-13.437503,-175.27083,0.0029820018
-13.437503,-175.22917,0.002518002
-13.437503,-175.1875,0.002742
-13.437503,-175.14583,0.0025239997
-13.437503,-175.10417,0.0024159998
-13.437503,-175.0625,0.0024080016
-13.437503,-175.02083,0.002394002
-13.437503,-174.97917,0.0028939992
-13.437503,-174.9375,0.0029719993
-13.437503,-174.89583,0.0029980019
-13.437503,-174.85417,0.0030000024
-13.437503,-174.8125,0.0031060018
-13.437503,-174.77083,0.003258001
-13.437503,-174.52083,0.0025260001
-13.437503,-174.47917,0.0025940016
-13.437503,-174.4375,0.002828002
-13.437503,-174.39583,0.0027760006
-13.47917,-176.64583,0.0024180003
-13.47917,-176.60417,0.0023920015
-13.47917,-176.5625,0.0027780011
