lat,lon,bb_645,normalized
47.3125,-84.854164,0.0020700097,0.4001458535416667
47.3125,-84.8125,0.002090007,0.40018751458333335
47.3125,-84.77083,0.0022000074,0.40041668208333336
47.3125,-84.729164,0.002334997,0.4006979104166667
47.3125,-84.6875,0.002155006,0.4003229291666667
47.3125,-84.64583,0.0019900054,0.39900054
47.3125,-84.604164,0.0019900054,0.39900054
47.270832,-85.0625,0.0017850101,0.37850101
47.270832,-85.02083,0.0018050075,0.38050075
47.270832,-84.979164,0.0018550009,0.38550009
47.270832,-84.9375,0.001970008,0.39700080000000004
47.270832,-84.89583,0.0020350069,0.4000729310416667
47.270832,-84.854164,0.0021150112,0.4002396066666667
47.270832,-84.8125,0.002060011,0.4001250229166667
47.270832,-84.77083,0.0020700097,0.4001458535416667
47.270832,-84.729164,0.0021450073,0.4003020985416667
47.270832,-84.6875,0.0019500107,0.39500107000000007
47.270832,-84.64583,0.0018950105,0.38950105
47.270832,-84.604164,0.001665011,0.3665011
47.270832,-84.5625,0.001665011,0.3665011
47.229164,-85.27083,0.0017950088,0.37950088000000004
47.229164,-85.229164,0.0017750114,0.37750114
47.229164,-85.1875,0.0017850101,0.37850101
47.229164,-85.14583,0.0017850101,0.37850101
47.229164,-85.104164,0.001790002,0.3790002
47.229164,-85.0625,0.0018000007,0.38000007
47.229164,-85.02083,0.0018099993,0.38099993
47.229164,-84.979164,0.0018299967,0.38299967
47.229164,-84.9375,0.0019650012,0.39650012
47.229164,-84.89583,0.0020350069,0.4000729310416667
47.229164,-84.854164,0.002120003,0.40025000625
47.229164,-84.8125,0.00212501,0.4002604375
47.229164,-84.77083,0.0022500008,0.400520835
47.229164,-84.729164,0.0024650097,0.4009687702083334
47.229164,-84.6875,0.002305001,0.40063541875
47.229164,-84.64583,0.0022950023,0.400614588125
47.1875,-85.4375,0.0018600076,0.38600076000000005
47.1875,-85.39583,0.001850009,0.38500090000000003
47.1875,-85.354164,0.0018350035,0.38350035000000005
47.1875,-85.3125,0.0018000007,0.38000007
47.1875,-85.27083,0.0018050075,0.38050075
47.1875,-85.229164,0.0018099993,0.38099993
47.1875,-85.1875,0.0018050075,0.38050075
